Nome do Buteco,Endereço,Latitude,Longitude,Avaliação,Seg (Abertura),Seg (Fechamento),Ter (Abertura),Ter (Fechamento),Qua (Abertura),Qua (Fechamento),Qui (Abertura),Qui (Fechamento),Sex (Abertura),Sex (Fechamento),Sáb (Abertura),Sáb (Fechamento),Dom (Abertura),Dom (Fechamento)
Rei do Peixe,"Rua Ramalho Ortigão, 735 | Santa Branca, Belo Horizonte - MG",-19824706,-43964402,,,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,11:00,23:00,11:00:00,17:00:00
Resenha da Naty,"Rua Gonçalves Ledo, 288 | Cachoeirinha, Belo Horizonte - MG",-19889984,-44003929,,,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,12:00,23:00,,
Restaurante Jorge Americano,"Avenida Augusto de Lima, 744 | Centro, Belo Horizonte - MG",-19922732,-43945095,,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00,23:00,,
S.O.S PUB,"Rua Padre José Maurício, 1126 | Vista Alegre, Belo Horizonte - MG",-19938883,-44037144,,17:30:00,00:00:00,17:30:00,00:00:00,17:30:00,00:00:00,17:30:00,00:00:00,17:30:00,00:00:00,17:30,00:00,,
Santa Boemia,"Rua Mármore, 534 | Santa Tereza, Belo Horizonte - MG",-19911075,-43923769,,,,17:30:00,23:30:00,17:30:00,23:30:00,17:30:00,23:30:00,17:30:00,23:30:00,12:00,23:30,12:00:00,18:00:00
Santuário Retrô,"Avenida Padre Vieira, 150 | Minas Brasil, Belo Horizonte - MG",-19923412,-43945893,,,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,11:00,23:00,11:00:00,19:00:00
Seu Braz,"Avenida Portugal, 4325 | Itapoã, Belo Horizonte - MG",-19840740,-43978601,,,,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,11:00:00,23:00:00
Silvio’s Bar,"Rua Begônia, 199 | Esplanada, Belo Horizonte - MG",-19917416,-43921612,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,10:00,17:00,,
Sinhá Erozitha Bistrôteco,"Rua Santo Amaro, 257 | Sagrada Família, Belo Horizonte - MG",-19907998,-43916388,,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,11:00,23:00,,
Sô Bar,"Avenida Altamiro Avelino Soares, 426 | Castelo, Belo Horizonte - MG",-19866504,-44015248,,,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,12:00,00:00,12:00:00,22:00:00
Spetim,"Rua Ilacir Pereira Lima, 518 | Silveira, Belo Horizonte - MG",-19897486,-43914271,,11:00:00,23:30:00,11:00:00,23:30:00,11:00:00,23:30:00,11:00:00,23:30:00,11:00:00,23:30:00,11:00,00:00,11:00:00,23:30:00
Tanganica Art Bar,"Rua Padre Demerval Gomes, 380 | Coração Eucarístico, Belo Horizonte - MG",-19925000,-44000492,,,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,12:00,23:00,,
The Butcher,"Avenida Ressaca, 353 | Coração Eucarístico, Belo Horizonte - MG",-19925000,-44000492,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,12:00,00:00,12:00:00,18:00:00
Toca do Ogro,"Rua Professor Nelson de Sena, 4 | Pampulha, Belo Horizonte - MG",-19873255,-43905622,,,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,12:00,00:00,,
Toninho – Alto Forno,"Rua Miracema, 100 | Santo André, Belo Horizonte - MG",-19922732,-43945095,,,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,12:00,00:00,12:00:00,18:00:00
Tropeiro do Lisboa,"Avenida Leontino Francisco Alves, 506 | Serra Verde (Venda Nova), Belo Horizonte - MG",-19816480,-43963955,,11:00:00,00:00:00,,,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,11:00:00,00:00:00
Us Motoca,"Rua Blenda, 91 | Camargos, Belo Horizonte - MG",-19943209,-44028635,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00,00:00,11:30:00,15:30:00
Xambar,"Avenida Augusto de Lima, 233 | Centro, Belo Horizonte - MG",-19922732,-43945095,,12:00:00,15:00:00,12:00:00,15:00:00,12:00:00,15:00:00,12:00:00,15:00:00,12:00:00,15:00:00,,,,
Xico da Kafua,"Avenida Itaú, 1195 - João Pinheiro, Belo Horizonte - MG",-19935028,-44011867,,11:30:00,16:30:00,11:30:00,16:30:00,11:30:00,22:00:00,11:30:00,22:00:00,11:30:00,22:00:00,11:30,22:00,11:30:00,16:30:00
Xico do Churrasco,"Av Altamiro Avelino Soares, 920 - Castelo - Belo Horizonte - MG",-19866504,-44015248,,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,11:00:00,00:00:00
Zé Bolacha,"Rua das Melancias, 35 | Vila Cloris, Belo Horizonte - MG",-19868740,-43974443,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00,23:00,,
Zoo Bar,"Avenida Otacílio Negrão de Lima, 7844 | Pampulha, Belo Horizonte - MG",-19850400,-44001600,,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,11:00:00,00:00:00
